EPI_ID,CLASS
EPI00001816,5
EPI00001818,5
EPI00001825,5
EPI00001821,5
EPI00001826,5
EPI00001819,5
EPI00001817,5
EPI00001762,5
EPI00001827,5
EPI00001828,5
EPI00001822,5
EPI00001813,5
EPI00001814,5
EPI00001815,5
EPI00001804,3
EPI00001805,5
EPI00001806,5
EPI00001803,5
EPI00001812,3
EPI00001809,5
EPI00001800,5
EPI00001801,5
EPI00001802,5
EPI00001844,5
EPI00001608,5
EPI00001609,5
EPI00001680,4
EPI00001600,5
EPI00001581,5
EPI00003578,5
EPI00000606,2
EPI00000607,4
EPI00000608,4
EPI00000133,4
EPI00000134,4
EPI00000136,4
EPI00000161,4
EPI00000158,2
EPI00000609,2
EPI00000610,2
EPI00000137,4
EPI00000138,4
EPI00000139,4
EPI00000140,4
EPI00000141,4
EPI00000142,4
EPI00000143,2
EPI00000144,4
EPI00000146,4
EPI00000147,4
EPI00000148,4
EPI00000149,3
EPI00000150,4
EPI00000611,2
EPI00000612,2
EPI00000613,2
EPI00000614,4
EPI00000615,4
EPI00000616,2
EPI00000617,4
EPI00000151,4
EPI00000152,4
EPI00000618,4
EPI00000619,4
EPI00000620,4
EPI00000153,4
EPI00000154,4
EPI00000155,4
EPI00000156,4
EPI00000157,4
EPI00000621,4
EPI00000622,4
EPI00001859,3
EPI00003059,2
EPI00003061,5
EPI00003056,1
EPI00003057,5
EPI00003058,5
EPI00000011,4
EPI00003060,1
EPI00003062,1
EPI00003063,1
EPI00003064,1
EPI00003065,1
EPI00003066,5
EPI00003067,5
EPI00003068,5
EPI00003069,1
EPI00003070,5
EPI00003071,3
EPI00003072,1
EPI00003073,5
EPI00003074,3
EPI00003075,3
EPI00003076,0
EPI00003077,0
EPI00003078,3
EPI00003079,3
EPI00003080,3
EPI00001860,5
EPI00003081,2
EPI00003082,3
EPI00003083,5
EPI00003084,5
EPI00001861,3
EPI00000012,4
EPI00003090,4
EPI00003085,0
EPI00003086,5
EPI00003087,3
EPI00003088,3
EPI00003089,3
EPI00001862,4
EPI00003091,2
EPI00003092,4
EPI00003093,3
EPI00000013,4
EPI00001863,3
EPI00000014,3
EPI00003094,3
EPI00000015,4
EPI00001864,3
EPI00003095,3
