EPI_ID,CLASS
EPI00001816,1
EPI00001818,1
EPI00001825,1
EPI00001821,1
EPI00001826,1
EPI00001819,1
EPI00001817,1
EPI00001762,1
EPI00001827,1
EPI00001828,1
EPI00001822,1
EPI00001813,1
EPI00001814,1
EPI00001815,1
EPI00001804,1
EPI00001805,1
EPI00001806,1
EPI00001803,1
EPI00001812,1
EPI00001809,1
EPI00001800,1
EPI00001801,1
EPI00001802,1
EPI00001844,1
EPI00001608,1
EPI00001609,0
EPI00001680,1
EPI00001600,1
EPI00001581,1
EPI00003578,2
EPI00000606,0
EPI00000607,0
EPI00000608,0
EPI00000133,0
EPI00000134,0
EPI00000136,0
EPI00000161,0
EPI00000158,0
EPI00000609,0
EPI00000610,0
EPI00000137,0
EPI00000138,0
EPI00000139,0
EPI00000140,0
EPI00000141,0
EPI00000142,0
EPI00000143,0
EPI00000144,0
EPI00000146,0
EPI00000147,0
EPI00000148,0
EPI00000149,0
EPI00000150,0
EPI00000611,0
EPI00000612,0
EPI00000613,0
EPI00000614,0
EPI00000615,0
EPI00000616,0
EPI00000617,0
EPI00000151,0
EPI00000152,0
EPI00000618,0
EPI00000619,0
EPI00000620,0
EPI00000153,0
EPI00000154,0
EPI00000155,0
EPI00000156,0
EPI00000157,0
EPI00000621,0
EPI00000622,0
EPI00001859,0
EPI00003059,0
EPI00003061,2
EPI00003056,0
EPI00003057,1
EPI00003058,1
EPI00000011,0
EPI00003060,0
EPI00003062,0
EPI00003063,0
EPI00003064,0
EPI00003065,0
EPI00003066,1
EPI00003067,1
EPI00003068,1
EPI00003069,0
EPI00003070,1
EPI00003071,1
EPI00003072,0
EPI00003073,2
EPI00003074,0
EPI00003075,1
EPI00003076,0
EPI00003077,0
EPI00003078,1
EPI00003079,1
EPI00003080,1
EPI00001860,2
EPI00003081,0
EPI00003082,1
EPI00003083,1
EPI00003084,0
EPI00001861,0
EPI00000012,0
EPI00003090,1
EPI00003085,0
EPI00003086,1
EPI00003087,1
EPI00003088,1
EPI00003089,1
EPI00001862,0
EPI00003091,0
EPI00003092,1
EPI00003093,1
EPI00000013,0
EPI00001863,0
EPI00000014,0
EPI00003094,2
EPI00000015,0
EPI00001864,0
EPI00003095,1
EPI00003096,1
EPI00003097,0
EPI00003098,1
EPI00003099,1
EPI00003100,1
EPI00003101,1
EPI00003102,1
EPI00003103,1
EPI00003104,0
EPI00000016,0
EPI00003106,0
EPI00000017,0
EPI00003105,1
EPI00003107,2
EPI00003108,0
EPI00003109,0
EPI00003110,1
EPI00000018,0
EPI00003111,0
EPI00000019,0
EPI00000159,0
EPI00000135,0
EPI00000145,0
EPI00000160,0
EPI00000623,0
EPI00001727,1
EPI00001728,1
EPI00001553,2
EPI00001591,1
EPI00001741,1
EPI00001835,1
EPI00003007,1
EPI00001525,1
EPI00001547,1
EPI00001745,1
EPI00001576,1
EPI00001577,2
EPI00001578,1
EPI00001531,1
EPI00003013,1
EPI00003014,1
EPI00001642,1
EPI00001610,1
EPI00001798,1
EPI00001632,1
EPI00001641,1
EPI00001685,1
EPI00001873,1
EPI00001696,1
EPI00001829,1
EPI00001722,2
EPI00001560,1
EPI00001752,1
EPI00003580,1
EPI00001792,1
EPI00001796,1
EPI00003006,1
EPI00001598,1
EPI00001808,1
EPI00001810,1
EPI00001811,1
EPI00001807,1
EPI00001820,1
EPI00001530,1
EPI00001597,1
EPI00003053,1
EPI00003052,1
EPI00003140,1
EPI00003114,1
EPI00001725,1
EPI00001865,1
EPI00001866,1
EPI00003141,1
EPI00003120,1
