EPI_ID,CLASS
EPI00001816,0
EPI00001818,0
EPI00001825,1
EPI00001821,0
EPI00001826,1
EPI00001819,0
EPI00001817,1
EPI00001762,1
EPI00001827,1
EPI00001828,1
EPI00001822,1
EPI00001813,1
EPI00001814,1
EPI00001815,1
EPI00001804,1
EPI00001805,1
EPI00001806,1
EPI00001803,1
EPI00001812,0
EPI00001809,0
EPI00001800,1
EPI00001801,1
EPI00001802,1
EPI00001844,0
EPI00001608,0
EPI00001609,0
EPI00001680,0
EPI00001600,1
EPI00001581,0
EPI00003578,0
EPI00000606,1
EPI00000607,1
EPI00000608,1
EPI00000133,1
EPI00000134,1
EPI00000136,1
EPI00000161,0
EPI00000158,0
EPI00000609,1
EPI00000610,1
EPI00000137,0
EPI00000138,0
EPI00000139,0
EPI00000140,1
EPI00000141,1
EPI00000142,1
EPI00000143,1
EPI00000144,1
EPI00000146,1
EPI00000147,1
EPI00000148,1
EPI00000149,1
EPI00000150,1
EPI00000611,0
EPI00000612,1
EPI00000613,1
EPI00000614,0
EPI00000615,1
EPI00000616,0
EPI00000617,1
EPI00000151,1
EPI00000152,1
EPI00000618,1
EPI00000619,1
EPI00000620,1
EPI00000153,1
EPI00000154,1
EPI00000155,0
EPI00000156,1
EPI00000157,1
EPI00000621,1
EPI00000622,1
EPI00001859,1
EPI00003059,0
EPI00003061,0
EPI00003056,2
EPI00003057,0
EPI00003058,0
EPI00000011,1
EPI00003060,2
EPI00003062,2
EPI00003063,2
EPI00003064,2
EPI00003065,2
EPI00003066,0
EPI00003067,0
EPI00003068,0
EPI00003069,0
EPI00003070,0
EPI00003071,0
EPI00003072,2
EPI00003073,0
EPI00003074,0
EPI00003075,1
EPI00003076,2
EPI00003077,2
EPI00003078,0
EPI00003079,0
EPI00003080,0
EPI00001860,1
EPI00003081,2
EPI00003082,0
EPI00003083,0
EPI00003084,0
EPI00001861,1
EPI00000012,1
EPI00003090,0
EPI00003085,2
EPI00003086,0
EPI00003087,0
EPI00003088,0
EPI00003089,0
EPI00001862,1
EPI00003091,2
EPI00003092,0
EPI00003093,0
EPI00000013,1
EPI00001863,1
EPI00000014,1
EPI00003094,0
EPI00000015,1
EPI00001864,1
EPI00003095,0
EPI00003096,0
EPI00003097,2
EPI00003098,0
EPI00003099,0
EPI00003100,0
EPI00003101,0
EPI00003102,0
EPI00003103,0
EPI00003104,2
EPI00000016,1
EPI00003106,2
EPI00000017,1
EPI00003105,0
EPI00003107,2
EPI00003108,0
EPI00003109,0
EPI00003110,0
EPI00000018,1
EPI00003111,2
EPI00000019,1
EPI00000159,1
EPI00000135,0
EPI00000145,1
EPI00000160,0
EPI00000623,1
EPI00001727,0
EPI00001728,0
EPI00001553,0
EPI00001591,1
EPI00001741,1
EPI00001835,0
EPI00003007,0
EPI00001525,0
EPI00001547,0
EPI00001745,1
EPI00001576,0
EPI00001577,1
EPI00001578,0
EPI00001531,0
EPI00003013,0
EPI00003014,0
EPI00001642,0
EPI00001610,0
EPI00001798,0
EPI00001632,1
EPI00001641,1
EPI00001685,1
EPI00001873,0
EPI00001696,1
EPI00001829,0
EPI00001722,0
EPI00001560,0
EPI00001752,1
EPI00003580,0
EPI00001792,0
EPI00001796,1
EPI00003006,0
EPI00001598,0
EPI00001808,0
EPI00001810,0
EPI00001811,0
EPI00001807,1
EPI00001820,0
EPI00001530,0
EPI00001597,0
EPI00003053,0
EPI00003052,0
EPI00003140,0
EPI00003114,0
EPI00001725,0
EPI00001865,1
EPI00001866,0
EPI00003141,0
EPI00003120,1
