EPI_ID,CLASS
EPI00001816,3
EPI00001818,3
EPI00001825,3
EPI00001821,3
EPI00001826,3
EPI00001819,3
EPI00001817,3
EPI00001762,3
EPI00001827,3
EPI00001828,3
EPI00001822,3
EPI00001813,3
EPI00001814,3
EPI00001815,3
EPI00001804,3
EPI00001805,3
EPI00001806,3
EPI00001803,3
EPI00001812,3
EPI00001809,3
EPI00001800,3
EPI00001801,3
EPI00001802,3
EPI00001844,3
EPI00001608,3
EPI00001609,3
EPI00001680,4
EPI00001600,3
EPI00001581,3
EPI00003578,3
EPI00000606,2
EPI00000607,4
EPI00000608,4
EPI00000133,4
EPI00000134,4
EPI00000136,4
EPI00000161,4
EPI00000158,2
EPI00000609,2
EPI00000610,2
EPI00000137,4
EPI00000138,4
EPI00000139,4
EPI00000140,4
EPI00000141,4
EPI00000142,4
EPI00000143,2
EPI00000144,4
EPI00000146,4
EPI00000147,4
EPI00000148,4
EPI00000149,3
EPI00000150,4
EPI00000611,2
EPI00000612,2
EPI00000613,2
EPI00000614,4
EPI00000615,4
EPI00000616,2
EPI00000617,4
EPI00000151,4
EPI00000152,4
EPI00000618,4
EPI00000619,4
EPI00000620,4
EPI00000153,4
EPI00000154,4
EPI00000155,4
EPI00000156,4
EPI00000157,4
EPI00000621,4
EPI00000622,4
EPI00001859,4
EPI00003059,2
EPI00003061,3
EPI00003056,1
EPI00003057,3
EPI00003058,3
EPI00000011,4
EPI00003060,1
EPI00003062,1
EPI00003063,1
EPI00003064,1
EPI00003065,1
EPI00003066,3
EPI00003067,3
EPI00003068,3
EPI00003069,1
EPI00003070,3
EPI00003071,3
EPI00003072,1
EPI00003073,3
EPI00003074,3
EPI00003075,3
EPI00003076,0
EPI00003077,0
EPI00003078,3
EPI00003079,3
EPI00003080,3
EPI00001860,3
EPI00003081,2
EPI00003082,3
EPI00003083,3
EPI00003084,3
EPI00001861,3
EPI00000012,4
EPI00003090,4
EPI00003085,0
EPI00003086,3
EPI00003087,3
EPI00003088,3
EPI00003089,3
EPI00001862,4
EPI00003091,2
EPI00003092,4
EPI00003093,3
EPI00000013,4
EPI00001863,3
EPI00000014,3
EPI00003094,3
EPI00000015,4
EPI00001864,3
EPI00003095,3
EPI00003096,3
EPI00003097,0
EPI00003098,3
EPI00003099,3
EPI00003100,3
EPI00003101,3
EPI00003102,3
EPI00003103,3
EPI00003104,1
EPI00000016,4
EPI00003106,1
EPI00000017,4
EPI00003105,3
EPI00003107,1
EPI00003108,2
EPI00003109,3
EPI00003110,3
EPI00000018,4
EPI00003111,1
EPI00000019,4
EPI00000159,4
EPI00000135,4
EPI00000145,4
EPI00000160,4
EPI00000623,4
EPI00001727,3
EPI00001728,3
EPI00001553,3
EPI00001591,3
EPI00001741,3
EPI00001835,3
EPI00003007,4
EPI00001525,3
EPI00001547,3
EPI00001745,3
EPI00001576,3
EPI00001577,3
EPI00001578,3
EPI00001531,3
EPI00003013,3
EPI00003014,3
EPI00001642,3
EPI00001610,3
EPI00001798,3
EPI00001632,3
EPI00001641,3
EPI00001685,3
EPI00001873,3
EPI00001696,3
EPI00001829,3
EPI00001722,3
EPI00001560,3
EPI00001752,3
EPI00003580,3
EPI00001792,3
EPI00001796,3
EPI00003006,4
EPI00001598,3
EPI00001808,3
EPI00001810,3
EPI00001811,3
EPI00001807,3
EPI00001820,3
EPI00001530,3
EPI00001597,3
EPI00003053,2
EPI00003052,3
EPI00003140,3
EPI00003114,4
EPI00001725,3
EPI00001865,3
EPI00001866,3
EPI00003141,3
EPI00003120,4
